locationId,wing,shelf,bookName,authorName
666026976,CHAP-108 Bookcases (closest to offices),8.2,Reading Scripture with the Church Fathers,Christopher A. Hall
436909784,CHAP-108 Bookcases (closest to chapel),1.3,Reformers in the Wings from Geiler von Kaysersberg to Theodore Beza: Second Edition,David C. Steinmetz
973901755,CHAP-108 Bookcases (closest to offices),7.4,"Religious Foundations of Western Civilization: Judaism, Christianity, and Islam",Jacob Neusner
958591300,Exterior (Next to Office),12.4,Resurrecting Easter,John Dominic Crossan
337567650,Exterior (Next to Office),12.4,Saints in the Struggle ,Jonathan Chism
389976220,Office # 108-A Bookcases,10.2,Science and Health with Key to the Scriptures,Mary Baker Eddy
702702063,Exterior (Next to Office),12.4,Scribes and Scrolls at Qumran,Sidnie White Crawford
140862606,CHAP-108 Bookcases (closest to chapel),1.4,Sin: The Early History of an Idea,Paula Fredriksen
762688031,CHAP-108 Bookcases (closest to chapel),1.4,Soldering for God: Christianity and the Roman Army,John F. Shean
886835381,CHAP-108 Bookcases (closest to offices),8.1,Solomons's Divine Arts,Joseph Hall
622658114,CHAP-108 Bookcases (closest to chapel),1.4,Suffering and Evil in Early Christian Thought,Nonna Verna Harrison and David G. Hunter
202427832,Exterior (Next to Office),12.4,Symeon the Holy Fool: Leontius's Life and the Late Antique City,Derek Krueger
683522921,Office # 108-A Bookcases,10.2,The Aeneid of Virgil,Allen Mandelbaum
200721753,Office # 108-A Bookcases,10.3,The Aramaic Bible: Targum Neofiti 1: Deuteronomy Vol. 5A,Martin McNamara
775633140,Office # 108-A Bookcases,10.3,The Aramaic Bible: Targum Neofiti 1: Leviticus and Targum Pseudo-Jonathon: Leviticus Vol.3,Martin McNamara and Robert Hayward
997543583,Office # 108-A Bookcases,10.3,The Aramaic Bible: Targum Pseudo-Jonathon: Deuteronomy Vol. 5B,Ernest G. Clarke
57284530,Office # 108-A Bookcases,10.3,The Aramaic Bible: Targum Pseudo-Jonathon: Genesis Vol. 11,Michale Maher
697673383,Office # 108-A Bookcases,10.3,The Aramaic Bible: The Isaiah Targum Vol. 1B,Bruce D. Chilton
543541601,Office # 108-A Bookcases,10.3,"The Aramaic Bible: The Targum of Job, The Targum of Proverbs, The Targum of Qohelet Vol. 15","Celine Mangan, John F. Healey, Peter S. Knobel"
447674224,Office # 108-A Bookcases,10.3,The Aramaic Bible: The Two Targums of Esther,Bernard Grossfeld
496117858,Office # 108-A Bookcases,10.3,The Archaeology of Society in The Holy Land,Thomas E. Levy
160150766,CHAP-108 Bookcases (closest to offices),7.3,The Bible as Book: The Transmission of the Greek Text,Scott McKendrick and Orlaith O'Sullivan
411953187,Office # 108-A Bookcases,10.3,The Bible from Late Intiquity to the Renaissance: Writing and Images from the Vatican Libraru,Ambrogio M. Piazzoni with Francesca Manzari
128080338,CHAP-108 Bookcases (closest to offices),7.3,The Bible of the Poor,Albert C. Labriola and Joohn W. Smeltz
954862342,CHAP-108 Bookcases (closest to offices),8.2,The Bible with the Apocrypha (The Authoritative Modern Translation),N/A
718592516,CHAP-108 Bookcases (closest to offices),8.2,The Blackwell Dictionary of Eastern Christianity,"Ken Parry, etc."
912864823,Office # 108-A Bookcases,10.2,The Book of Esther and the Typology of Female Transfiguration in American Literature,Ariel Clark Silver
124891449,CHAP-108 Bookcases (closest to chapel),1.3,The Book of Magic: From Antiquity to the Enlightenment,Brian Copenhaver
399595176,CHAP-108 Bookcases (closest to offices),8.3,The Book of Revelation,Clarence Larkin
778143491,CHAP-108 Bookcases (closest to chapel),2.1,The Book of Saints: A Comprehensize Biographical Dictionary,Dom Basil Watkins
33525822,CHAP-108 Bookcases (closest to offices),8.4,The Books of the Bible: The Apocrypha and the New Testament,Bernhard W. Anderson
883563156,CHAP-108 Bookcases (closest to offices),8.4,The Books of the Bible: The Old Testament/The Hebrew Bible,Bernhard W. Anderson
965803179,CHAP-108 Bookcases (closest to chapel),2.1,The Cambridge Companion to Augustine,Eleonore Stump and Normal Kretzmann
873130823,CHAP-108 Bookcases (closest to offices),8.4,"The Changing Face of Christianity: Africa, the West, and the World",Lamin Sanneh and Joel A. Carpenter
679435343,CHAP-108 Bookcases (closest to chapel),1.4,The Changing Faces of Jesus,Geza Vermes
437365662,CHAP-108 Bookcases (closest to offices),8.2,The Christian Theological Tradition Reader,Catherine A. Cory
543466838,CHAP-108 Bookcases (closest to offices),8.3,The Church and the Library: Studied in Honor of Rev. Dr. George C. Papademetriou,Dean Papademetriou and Andrew J. Sopko
622685821,CHAP-108 Bookcases (closest to chapel),2.3,The Clash of God - A Reinterpretation of Early Christian  Art,Thomas F. Mathews
129147430,Office # 108-A Bookcases,9.3,The Coptic Gnostic Library: A Complete Edition of the Nag Hammadi Codices - Volumes 1 - 5,James M. Robinson
64516834,Office # 108-A Bookcases,10.2,The Counter Reformation,A.G. Dickens
182861464,Exterior (Next to Office),12.4,"The Dead Sea Scrolls, A Biography",John J. Collins
946548576,Office # 108-A Bookcases,10.3,The Desire of Ages,Ellen G. White
453400727,CHAP-108 Bookcases (closest to offices),8.2,The Development and Meaning of Trinitarian Doctrine: Retrieving Nicaea,Khaled Anatoliod
42090390,Office # 108-A Bookcases,10.2,The Divine Comedy of Dante Alighier: Inferno,Allen Mandelbaum
145344575,Office # 108-A Bookcases,10.2,The Divine Comedy of Dante Alighier: Paradiso,Allen Mandelbaum
720222600,Office # 108-A Bookcases,10.2,The Divine Comedy of Dante Alighier: Purgatorio,Allen Mandelbaum
766358858,CHAP-108 Bookcases (closest to offices),7.2,The Early Christian Book,William E. Klingshirn and Linda Safran
